S.N.,Car Name,Model,Chasis Number,Colour,Mileage,Engine,Grade,Details,Price,Landing,Location,imgURL,Picture,Status,Drive Image,First Image
77,Toyota Corolla Axio 1.5X 4WD Package,2019,DBA-NZE164,White,"122,196",1500,4,"Toyota safety sense, ETC, Back monitor, VSC",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1Hid5qQJgyjND2p3QxsKzXUAhXkFMu_Ij&sz=w1000|https://drive.google.com/thumbnail?id=1PXyZwXoMoe85EEOy1j1gTZi8JeaD3inP&sz=w1000|https://drive.google.com/thumbnail?id=1yUzbyIEpF5_-dwO9l_ivVrbw_qH42dil&sz=w1000|https://drive.google.com/thumbnail?id=1XC7hLfpON90UhQOKshIGCS6OCkUxjA2W&sz=w1000|https://drive.google.com/thumbnail?id=1qkLL4xbaENaZbEW5WKW88frZ2HcjU3fh&sz=w1000|https://drive.google.com/thumbnail?id=13ENWXLjbXOT4sGj2-mPj3LGAdq1JgF-q&sz=w1000|https://drive.google.com/thumbnail?id=1sxc-SJWgrz9XllPaHmArgAy8OErAE4AE&sz=w1000,https://drive.google.com/thumbnail?id=1Hid5qQJgyjND2p3QxsKzXUAhXkFMu_Ij&sz=w1000
78,Toyota Corolla Axio Hybrid Package,2019,DAA-NKE165,Silver,"155,342",1500,2,"Toyota safety sense, ETC, Back monitor, VSC, External memory navigation",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1wX7z8FGSGjKGfttHoPW1ENwlmvoAoQjy&sz=w1000|https://drive.google.com/thumbnail?id=1GX4nnl-mxbNNdj0Ly-H4TD8zC7ZeLZnl&sz=w1000|https://drive.google.com/thumbnail?id=14xjXmZ9rKoB7O0HS0lZhss3K4Zaoiurz&sz=w1000|https://drive.google.com/thumbnail?id=1uYh8HQF6tIs5fYeXo7PiqD8rLgCNlCg_&sz=w1000|https://drive.google.com/thumbnail?id=1fT3n1FSi30maTMqC3mfx-90sXQJOZw0G&sz=w1000|https://drive.google.com/thumbnail?id=17isfe8CXBquKsDnFUi0Pdgr7mFsog88d&sz=w1000|https://drive.google.com/thumbnail?id=1rG0TG3CL8itxUeTP7od9Eu3Ba5flcNga&sz=w1000|https://drive.google.com/thumbnail?id=1jKWOpt3RTltKgUSMZUebm29f8Z-9Neqg&sz=w1000|https://drive.google.com/thumbnail?id=1jVtTpTMsVVVkhDMTxtJEJdiznWtP2dDJ&sz=w1000|https://drive.google.com/thumbnail?id=1lr1DmDe63QP8AK6AZo4SKx_eQdO2cQXJ&sz=w1000,https://drive.google.com/thumbnail?id=1wX7z8FGSGjKGfttHoPW1ENwlmvoAoQjy&sz=w1000
79,Toyota C-HR G Package,2019,DAA-ZYX10,Pearl,"115,978",1800,4,"LED Headlight, Back monitor, Drive recorder",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Unsold,https://drive.google.com/thumbnail?id=1j1ttF6RkTIyu-3zJ0LR-ubQ117Zsgvpa&sz=w1000|https://drive.google.com/thumbnail?id=13S4ldItLKSj-wqSL50LpSVOOIVA1r7jN&sz=w1000|https://drive.google.com/thumbnail?id=1_xbFls2fapzO9QG5Wc69-XT2IQjcHUBf&sz=w1000|https://drive.google.com/thumbnail?id=1h7MeYEgvJ2PE7VUhcsw7cJdM4XaaQH-g&sz=w1000|https://drive.google.com/thumbnail?id=1QS_Ynak9qsucb08DL_SI_TkG63IlU5D8&sz=w1000|https://drive.google.com/thumbnail?id=1dvTYin20HB_R2HrUHt6zShxAO2uu4555&sz=w1000|https://drive.google.com/thumbnail?id=1KhT1Qn39BVl_FR0oucszilHic2zoJegm&sz=w1000|https://drive.google.com/thumbnail?id=17WFvoVXKvUrKWsNKn8qnR_XcaEatRyvd&sz=w1000,https://drive.google.com/thumbnail?id=1j1ttF6RkTIyu-3zJ0LR-ubQ117Zsgvpa&sz=w1000
80,Toyota Noah Hybrid X Package,2019,DAA-ZWR80G,Pearl,"148,209",1800,RA,,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1tchv6vSt9DTEwP5n-MIz_CN9wVFu8_lE&sz=w1000|https://drive.google.com/thumbnail?id=1Q5yJLMTHxm43HlR2JE1J4ev63iBLagQk&sz=w1000|https://drive.google.com/thumbnail?id=1bbAmOJPJkHQJbvq-x2Lq70vU8BUcH7HZ&sz=w1000|https://drive.google.com/thumbnail?id=1K7PHLyzmV9DsOSw5huV-lBpq36RnGWRL&sz=w1000|https://drive.google.com/thumbnail?id=1UpfIRdi0mY_yK_MhOR-QKx2vpzUVh0Os&sz=w1000|https://drive.google.com/thumbnail?id=1Kyx7dvBZiWMU2K4zEJlMSZZU8VnpFzYl&sz=w1000|https://drive.google.com/thumbnail?id=1g1QM1EnCwpziuzM1H8w6jBBGVrEiAvA0&sz=w1000|https://drive.google.com/thumbnail?id=17RsJZvajvhsyisLv2cFFOp_4wDKCCYzx&sz=w1000|https://drive.google.com/thumbnail?id=1l4SdufBI48MBwA0etv-k8DQ11rcjf-6W&sz=w1000|https://drive.google.com/thumbnail?id=1s6dIbI_pZJ4mIWKQCizBfrlWkkbueBwx&sz=w1000|https://drive.google.com/thumbnail?id=1WOs93xqa8_5UPLcsAMc5vP_IOndxjccS&sz=w1000,https://drive.google.com/thumbnail?id=1tchv6vSt9DTEwP5n-MIz_CN9wVFu8_lE&sz=w1000
81,Toyota Corolla Fielder Hybrid EX Package,2020,DAA-NKE165G,Silver,"180,656",1500,3.5,,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Unsold,https://drive.google.com/thumbnail?id=16YPhw0JJtjidJQqIVYcYMJDcrfgxt0ka&sz=w1000|https://drive.google.com/thumbnail?id=1lywSwhpmuEUj7dK0ZjKDgeUe97cdfaA0&sz=w1000|https://drive.google.com/thumbnail?id=1oV8GzfpDk-aytgOAUGoUthIpz114HbzF&sz=w1000|https://drive.google.com/thumbnail?id=1qdFv7owHzCxki85bAg53Zqin4guGtGWT&sz=w1000|https://drive.google.com/thumbnail?id=1RtgbBCKbTIyLkU7GLBtcJqeM5cYpS88P&sz=w1000|https://drive.google.com/thumbnail?id=1D9EY0URloAgo0WmgLxxV6dpjXWj3EEQ6&sz=w1000|https://drive.google.com/thumbnail?id=1Mwbd86ZJE2brtDykBNHzsE5VSoIrm4qa&sz=w1000|https://drive.google.com/thumbnail?id=1doLGMqhlC_m8fhBR7fkxVDOE2IvyaNsC&sz=w1000,https://drive.google.com/thumbnail?id=16YPhw0JJtjidJQqIVYcYMJDcrfgxt0ka&sz=w1000
82,Toyota Voxy Hybrid X,2019,DAA-ZWR80G,Black,"191,000",1800,3.5,"Toyota Safety Sense, Push Start, Power slide doors on both sides",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1wxyTaQhlevhKhmcy-0lPSsHnzUeq1WsD&sz=w1000|https://drive.google.com/thumbnail?id=1r-5jya03O-jYfSb5T_Wzb49TH0KZO9op&sz=w1000|https://drive.google.com/thumbnail?id=1QvmIugk83Us3TObYSY6i70YL_uGIUhyg&sz=w1000|https://drive.google.com/thumbnail?id=1J9bDTj-cmjFtgtsqP-9_GQ70MwM0cR9S&sz=w1000|https://drive.google.com/thumbnail?id=1XQSRF6sjstJfD_igUf1fQ-rpJLWPiofd&sz=w1000|https://drive.google.com/thumbnail?id=1tRurmAsYGPxCR39EK6hTY_7MvKmDz4RA&sz=w1000|https://drive.google.com/thumbnail?id=1bVKGQL32eSWdXSFVW6EmlihrgMCvOJns&sz=w1000|https://drive.google.com/thumbnail?id=110gzxNE2QByiIyGxfAS1FsnS-Kdb8Bz6&sz=w1000|https://drive.google.com/thumbnail?id=1cW8ZBXmsctYAZtaj0hfVDZlV0P310WAt&sz=w1000|https://drive.google.com/thumbnail?id=16tK_GgGykjcROVlkhgngTTi0N3gf-S01&sz=w1000|https://drive.google.com/thumbnail?id=1N85wPGqc0FHfb0iYWzlVG0Kdz2jW3M2m&sz=w1000|https://drive.google.com/thumbnail?id=1UcAB0d0m4JMPA9e0qfKuTUG1mdZB4b0V&sz=w1000|https://drive.google.com/thumbnail?id=111vRRwPWarHBWdzvZ8PQvCzdWihclp_J&sz=w1000|https://drive.google.com/thumbnail?id=1CLkcRK8GQ017OHbKws8r-eTYaf5YrOMT&sz=w1000|https://drive.google.com/thumbnail?id=1QQ31mv2CC9tSDDY5gbBpBQ6YVHQ_Mtys&sz=w1000|https://drive.google.com/thumbnail?id=16vFb68TplpFnaExckSYQEYRZNQqTs6az&sz=w1000|https://drive.google.com/thumbnail?id=1bIcrEgiYVMvGWo04nNk5fASOyRqKsJAu&sz=w1000|https://drive.google.com/thumbnail?id=1okpm9CI-9VBxXlFcWxinX0hnq4RkzKLZ&sz=w1000,https://drive.google.com/thumbnail?id=1wxyTaQhlevhKhmcy-0lPSsHnzUeq1WsD&sz=w1000
83,Toyota Voxy Hybrid ,2019,DAA-ZWR80G,White,"103,667",1800,3.5,"Left side power slide door, Push Start",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=16BczgOSiRxbcgy-jPMztHbyRGxzQVsGC&sz=w1000|https://drive.google.com/thumbnail?id=1mQkoDDwOXAuNEtMyhkt3vPkC-F9F8r5I&sz=w1000|https://drive.google.com/thumbnail?id=1pb8p7gk5ydXH6MfwlMymjE1WN8iWHy-A&sz=w1000|https://drive.google.com/thumbnail?id=1nH3mdjd5z-0l-15orKV0SZssQ1IwaEK2&sz=w1000|https://drive.google.com/thumbnail?id=1fTlyhZgMi7m7gHZjKdljw8-QTTIrdygI&sz=w1000|https://drive.google.com/thumbnail?id=1-WvZEzm2qsa2bNPKdKLvxCvIYuwD4jEx&sz=w1000|https://drive.google.com/thumbnail?id=1is4EAvGHLlHqqsjkRWxuN7QcziLsDHnf&sz=w1000|https://drive.google.com/thumbnail?id=1BJ3s_tL5Y4Y3VaReXb3EINhyPbn2kqmE&sz=w1000|https://drive.google.com/thumbnail?id=1VFTSjK8RrgD7se_2dJyvAO00I-5dhmNi&sz=w1000|https://drive.google.com/thumbnail?id=1uwep-GBSmeuGTKQbzqEuzwyPGKoQIC8R&sz=w1000|https://drive.google.com/thumbnail?id=1dVt9_6uFN8LxzhR-Ktn6PK_Ghu3DBnOR&sz=w1000|https://drive.google.com/thumbnail?id=12fUafwOtTYAyXKcb3zob5yjMaexoPpAB&sz=w1000|https://drive.google.com/thumbnail?id=1MYObq_pzqnl3FzyG_FveHjB3wApkLp-N&sz=w1000|https://drive.google.com/thumbnail?id=11p7tgKjOULehav-0v7oRaIY64DM2_BoL&sz=w1000|https://drive.google.com/thumbnail?id=1xZGZjOMtXlFNjPHfB3q8GzstIw36iIre&sz=w1000,https://drive.google.com/thumbnail?id=16BczgOSiRxbcgy-jPMztHbyRGxzQVsGC&sz=w1000
85,Toyota Voxy Hybrid X,2019,ZWR80-0398759,Silver,"227,677",1800,3.5,,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Unsold,https://drive.google.com/thumbnail?id=1mId5KVN7YOAyxpP_C5-mb6QsjEgde5ww&sz=w1000|https://drive.google.com/thumbnail?id=1WNtdJxtY9rP6refnddLJBmL9Q9ofJxAW&sz=w1000|https://drive.google.com/thumbnail?id=1fP5BBemWsx9OKFhzOXhPcYOR6hL6lODW&sz=w1000|https://drive.google.com/thumbnail?id=1c9YLik4PxtYKsPLTmxsrD07kNpcvmksi&sz=w1000|https://drive.google.com/thumbnail?id=1fp8LJocfRHPjM1q25hjh6xitYthecF1W&sz=w1000|https://drive.google.com/thumbnail?id=1A-Wl85is1RrAwkb4gfbG6LE3Cu3khDsu&sz=w1000|https://drive.google.com/thumbnail?id=1i00S1yb0ICq3SVrzYC9VnX_cq0DVbYYF&sz=w1000|https://drive.google.com/thumbnail?id=1fKg_sIvvcsdJg1k2_q-51DccVVUMpPpq&sz=w1000|https://drive.google.com/thumbnail?id=1ePkNUapqdSMmXXjERTr5RJvhuj1rZMw9&sz=w1000|https://drive.google.com/thumbnail?id=1hjWJf2uJ4J6RCTFWn1ggx0UjT9J1yzpJ&sz=w1000|https://drive.google.com/thumbnail?id=1glZfm5wZPEc7D8cY1bbAStURmAiqskuW&sz=w1000|https://drive.google.com/thumbnail?id=1Q9w9WDLLEtSslNCSQyZ9CsjwWBGYLzmK&sz=w1000|https://drive.google.com/thumbnail?id=13zBigrw_gFgPd3vRWFky_MCxTyVSC3Yg&sz=w1000|https://drive.google.com/thumbnail?id=1X-cQbEv0qCil_sDUL7xaskZ-EKMBjWKZ&sz=w1000,https://drive.google.com/thumbnail?id=1mId5KVN7YOAyxpP_C5-mb6QsjEgde5ww&sz=w1000
88,Toyota Esquire Hybrid Xi Package,2019,DAA-ZWR80G,White,"78,058",1800,RA,Push Start,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1gXfe2VKo7Rz0r1UY9G8QjEFsbDqx9hPe&sz=w1000|https://drive.google.com/thumbnail?id=1Tdc-1UUBwxryq-lLu0dV3weEYSnvVI5q&sz=w1000|https://drive.google.com/thumbnail?id=10pF2m7ozhkFdjH498OrFEK0vJENjlihk&sz=w1000|https://drive.google.com/thumbnail?id=1S98CarqhgnlLvWPBpPSQAQF3ZhvqBfgj&sz=w1000|https://drive.google.com/thumbnail?id=1lhOz0WqC5yI0sX-M4gzyFrqOfNg4nJla&sz=w1000|https://drive.google.com/thumbnail?id=1cf8DhA8a9Yb_iGTBQ8XfxfRxeulBnRRc&sz=w1000|https://drive.google.com/thumbnail?id=1lRks6lbCV6-4p7m4ZBKZ7ohiD_NeEY5w&sz=w1000|https://drive.google.com/thumbnail?id=1Z-vJ8laySvTqL6AjiXbSG9dPB9cnCgpc&sz=w1000|https://drive.google.com/thumbnail?id=1GNdBBpo-4So00XmPhBSfa64DsPaXbPtq&sz=w1000,https://drive.google.com/thumbnail?id=1gXfe2VKo7Rz0r1UY9G8QjEFsbDqx9hPe&sz=w1000
89,Toyota Harrier Hybrid,2020,DAA-AVU65WB,White,"82,135",2500,3.5,,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1Pv55rMjDAkLpf4KoEJFKq65GRG86QrvW&sz=w1000|https://drive.google.com/thumbnail?id=1ZnM5EY7ZDB2YCgih3G9LQx2YwnMF3td5&sz=w1000|https://drive.google.com/thumbnail?id=1aEAetf8JZ3KUgixRHeWWh8tURSDAawGZ&sz=w1000|https://drive.google.com/thumbnail?id=1_kjNiEvQVtddztID0SDlP4D2gzr_W0Mc&sz=w1000|https://drive.google.com/thumbnail?id=1R5dNMzFxC4i9Bc58PuFYk9dHzZd9lp4W&sz=w1000|https://drive.google.com/thumbnail?id=1VpT9OWi16zstIOE4de11IHi4oDxy8nYj&sz=w1000|https://drive.google.com/thumbnail?id=1cu0bRt2z8vRKb4MjlIgviALI_9UtMsGf&sz=w1000|https://drive.google.com/thumbnail?id=1HrbXFmd_vIWfBZ8R1EXnZ1N7wcz4fO6B&sz=w1000|https://drive.google.com/thumbnail?id=1HNR_-Qc3VVzzrNJQ3zt1ViIS2rRyVWD4&sz=w1000|https://drive.google.com/thumbnail?id=1qaPOmFQKM63zFO0WYuMZJnLowrwe39E3&sz=w1000,https://drive.google.com/thumbnail?id=1Pv55rMjDAkLpf4KoEJFKq65GRG86QrvW&sz=w1000
90,Toyota Aqua,2019,NHP10-6817070,Purple,"172,909",1500,3.5,,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Unsold,https://drive.google.com/thumbnail?id=1PVrdPW98IqSWxJ5rLAyjwWq5NTRZtkzp&sz=w1000|https://drive.google.com/thumbnail?id=1LHjnmWHtVKErT3f0ohwW9X7amFsyglX7&sz=w1000|https://drive.google.com/thumbnail?id=1usvFaKNWiWz5cxSSjiexar2HHe5gz0HT&sz=w1000|https://drive.google.com/thumbnail?id=1PQXbaYbcJY8kbaW3bEOhskNnjeEPnDXc&sz=w1000|https://drive.google.com/thumbnail?id=1-N4MORY_KhHqlSRKDMs1h2DElVbcPlzl&sz=w1000,https://drive.google.com/thumbnail?id=1PVrdPW98IqSWxJ5rLAyjwWq5NTRZtkzp&sz=w1000
91,Toyota C-HR G Package,2019,DAA-ZYX10,Red,"124,358",1800,4,"Toyota Safety Sense, Radar Cruise Control",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Unsold,https://drive.google.com/thumbnail?id=1b1TfJBxAVvf8ocJ_RE717HqhqmWOX2-O&sz=w1000|https://drive.google.com/thumbnail?id=1brpi4B5dzNVoMdXGqy3rGBMf5cNKKGg0&sz=w1000|https://drive.google.com/thumbnail?id=11w6GvI4liWfPi41NSnnF_QXmLtaX4Kd7&sz=w1000|https://drive.google.com/thumbnail?id=18n5LxKNwoxXYf9qSSgIo_kyI4BRnD1EI&sz=w1000|https://drive.google.com/thumbnail?id=1qUn9NFdvoJwEVBA_jCdo9RAoPtfiSJoD&sz=w1000|https://drive.google.com/thumbnail?id=1dKRnPvkVhEI0U0EVuZZTFgKRhHii5Ht5&sz=w1000|https://drive.google.com/thumbnail?id=1k3Xx-a0VZLFyw6AKOe7YKd5yiFGSSQV8&sz=w1000|https://drive.google.com/thumbnail?id=1yo7UptWQD10utR9EhkWzltx9_uDL8dAV&sz=w1000|https://drive.google.com/thumbnail?id=1Qqz-mCMTq6PoN0C8n3aIulXnNW1vH5ZB&sz=w1000|https://drive.google.com/thumbnail?id=13jJQ7FhYJyLLFkTJMucThIpW8vqlRjZa&sz=w1000,https://drive.google.com/thumbnail?id=1b1TfJBxAVvf8ocJ_RE717HqhqmWOX2-O&sz=w1000
92,Honda CRV EX Masterpiece Package,2019,DBA-RW1,Black,"75,728",1500,4.5,"Leather Seat, Power Back Door, ETC 2.0, Steering Switch, Back Camera",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1H-kO5NcLDxtndQAhj4uFTRQgZ4AXrzX4&sz=w1000|https://drive.google.com/thumbnail?id=1zXUJfV_zUao6bs5avyhrY02XqwwXsxBF&sz=w1000|https://drive.google.com/thumbnail?id=1rcV3YbgdzC9mliyuxd1C5TODzvZ0i1UM&sz=w1000|https://drive.google.com/thumbnail?id=1j3c_QHmhEhvf1H0OZT-b6EUoOHekIqHE&sz=w1000|https://drive.google.com/thumbnail?id=1d7N2jVWzDQ1Zr3EGPl4GV1w6qZQx1K9l&sz=w1000|https://drive.google.com/thumbnail?id=1m68lnl4HNXAZiCZ6qSkC0iIX0FrKRlTI&sz=w1000|https://drive.google.com/thumbnail?id=1WbEBgEsJ9G2Sq3ojXUmeKZu-XjRh0Hsr&sz=w1000|https://drive.google.com/thumbnail?id=1r-iNvO-BDqG-KaoIWWXra7NCWPdmPCmJ&sz=w1000|https://drive.google.com/thumbnail?id=1RompbKBML-Yx8zcKhTFhQ4typKpuO9Mr&sz=w1000|https://drive.google.com/thumbnail?id=1xN7FH-cTJrttSqvuKHrD8Zmbb46MMdZM&sz=w1000|https://drive.google.com/thumbnail?id=1eT9MhY9mwPVMhAHMVE7kp20WB8aygujV&sz=w1000|https://drive.google.com/thumbnail?id=1g-tI5pGqHwoYp4MZ0zvYh9xqjlQRKqYf&sz=w1000|https://drive.google.com/thumbnail?id=16H__fGoKDl6M4cQOmz_9jaD7hsTULAz6&sz=w1000|https://drive.google.com/thumbnail?id=1eVqEec5XS9qsKjZjmXiAsov15RWr7430&sz=w1000|https://drive.google.com/thumbnail?id=16r8DX4MfyZPRy759HheM_E34rVFi3Dhf&sz=w1000,https://drive.google.com/thumbnail?id=1H-kO5NcLDxtndQAhj4uFTRQgZ4AXrzX4&sz=w1000
93,Toyota Hiace Long Just Low DX,2019,CBF-TRH200V,White,"48,159",2000,R ,Toyota Safety Sense ,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1o3mtHbO5pf_uq0wC8YHARsVLUIMMRY7R&sz=w1000|https://drive.google.com/thumbnail?id=1YtOyQjUcHJp-Dto1CcM1uIVMovPaqJlI&sz=w1000|https://drive.google.com/thumbnail?id=1ds8HHONZOSw21FP74mwWsmg3XiSjVzxm&sz=w1000|https://drive.google.com/thumbnail?id=1Bd5FOUdskYId-GeeE9HKVV4zLDVR-l6V&sz=w1000|https://drive.google.com/thumbnail?id=1Gd7q04OiEl5idfEB1UK8kd9fCQoHfOi2&sz=w1000|https://drive.google.com/thumbnail?id=14kuhd6x4YpHUfH9NdLu5FQ-_LB6cgoV-&sz=w1000|https://drive.google.com/thumbnail?id=1z42J4jS4sm3MX70XcmMH_4Hi0p8pGDoc&sz=w1000|https://drive.google.com/thumbnail?id=1lzostzaaFbini875FYNc54mtyg8OdBUc&sz=w1000|https://drive.google.com/thumbnail?id=1RIF6aJcrKyT2mfzcvF_pOp6wlCk97F_n&sz=w1000|https://drive.google.com/thumbnail?id=16UHK69mZD-47TlN4reBqLDhxzlplURnF&sz=w1000|https://drive.google.com/thumbnail?id=1UxtRa7xNyD3Q5c9mfPZUxKS1t-eC3EZy&sz=w1000|https://drive.google.com/thumbnail?id=1WDYrICDZcnKQLef6pi2pYJiPiclKOD9S&sz=w1000|https://drive.google.com/thumbnail?id=1TSwMrPR_Q1R5ba-1yRw1kXd2uFldFcKD&sz=w1000|https://drive.google.com/thumbnail?id=1q_X2CxP2il9FOk45h4xl-iuHiJmYwcY3&sz=w1000,https://drive.google.com/thumbnail?id=1o3mtHbO5pf_uq0wC8YHARsVLUIMMRY7R&sz=w1000
94,Toyota Hiace DX Package,2022,TRH200-0318645,Silver,"75,696",2000,3,"ETC, Back Camera",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1iuHmloFhlStbJLOsNlrLncruqKvy0qFN&sz=w1000|https://drive.google.com/thumbnail?id=1ts86gEMzY_CZV4JcicEyNWsbuJhYAEl6&sz=w1000|https://drive.google.com/thumbnail?id=1XoOy_o-Vti6OzepzZ5lWdAQf2uQuMf4F&sz=w1000|https://drive.google.com/thumbnail?id=1SMDsk4GZkmDK1j_nxCFneYJndDmVOXG6&sz=w1000,https://drive.google.com/thumbnail?id=1iuHmloFhlStbJLOsNlrLncruqKvy0qFN&sz=w1000
95,Toyota Aqua G GR Sports,2019,NH10-6826821,Gray,"59,420",1500,RA,"Pre-Crash Safety, Lane Departure Alert, Cruise Control, High Beam, Push Start",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1w-1oAlI3CBCE3AkXjnwsF-nfWsQeG_3B&sz=w1000|https://drive.google.com/thumbnail?id=1QXpCgF-xT6nYXHfkPhlx2rW2vf9tn95_&sz=w1000|https://drive.google.com/thumbnail?id=1qkk6UrTaTytPYKOIfRHrXiAT2fy1PNSG&sz=w1000|https://drive.google.com/thumbnail?id=1big_vl8cx0vA1rTruR3_vMo2_7AQ5lH7&sz=w1000|https://drive.google.com/thumbnail?id=1BuxyFbzure84jB-INzIX9JkT7p5KZRB8&sz=w1000|https://drive.google.com/thumbnail?id=1i5RxGq_QzEoSZjXrjdqO-54EKVQhumCI&sz=w1000|https://drive.google.com/thumbnail?id=146p0AgyUOMxJoD6i2aszHkA6Bn0WDqZ4&sz=w1000|https://drive.google.com/thumbnail?id=1SMsXtZVnuMTFD_zGlmkosdcLVu8aOMNs&sz=w1000|https://drive.google.com/thumbnail?id=1RL07YGYOxrAI9mHQ6d-Km4W9nnVrvxqW&sz=w1000|https://drive.google.com/thumbnail?id=1LbOZRNTHMVSFh8nnlKW_R3pIHsYvjqOg&sz=w1000,https://drive.google.com/thumbnail?id=1w-1oAlI3CBCE3AkXjnwsF-nfWsQeG_3B&sz=w1000
96,Toyota Hiace Long DX Package,2019,TRH200-0296864,White,"98,080",2000,3.5,"Toyota Safety Sense, Lane Departure Alert",1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Sold,https://drive.google.com/thumbnail?id=1nX1ELXVRuaZRZBeD0IKOWORgvJCfmNKK&sz=w1000|https://drive.google.com/thumbnail?id=1yGuWfqm_Xc6xHCfG5lFiQME2cwR-B64n&sz=w1000|https://drive.google.com/thumbnail?id=1YFLOUgQQjqhXKueRQ21h4PZCg1IPJQx_&sz=w1000|https://drive.google.com/thumbnail?id=1jH4Y9FHddzRlD91uOsDojld_Tuk8ZdHy&sz=w1000|https://drive.google.com/thumbnail?id=1WUW9Md3M3eHl3blH452fiGzKz0Cy0Uaa&sz=w1000|https://drive.google.com/thumbnail?id=1VnVFeOwLQQUUODYqucG3CoB5ndOPm7R0&sz=w1000|https://drive.google.com/thumbnail?id=1QokhnRIzZ9ZJPgPAyXm-COyJgUfP0n4i&sz=w1000,https://drive.google.com/thumbnail?id=1nX1ELXVRuaZRZBeD0IKOWORgvJCfmNKK&sz=w1000
97,Toyota Regius Ace Van Long Just Low DX Package,2019,TRH200-0294044,Silver,"181,233",2000,3.5,,1000000,,Dhaka,https://drive.google.com/thumbnail?id=1zzweIipUG3QyVSK6wrPsbWZFJY3qCHKL&sz=w1000,Picture,Unsold,https://drive.google.com/thumbnail?id=1o9hUlqqk8PAtg9-ItseY_UKbM7NEKNdN&sz=w1000|https://drive.google.com/thumbnail?id=15T4sktlN68uj_U3SVLGgBmg-wYBbekaP&sz=w1000|https://drive.google.com/thumbnail?id=1SHcSFeNDfmoTPh73xwVB-RnjUeOrfkik&sz=w1000|https://drive.google.com/thumbnail?id=10KZGZfHCdc22Gabklfkwmf135Z_YHAOA&sz=w1000|https://drive.google.com/thumbnail?id=1Ehdnbdn63ufq6kssh9Mo3XK34sGmrwVt&sz=w1000|https://drive.google.com/thumbnail?id=1LrubpkxFLw7ybTEMeXUMzkROoYrWeQQA&sz=w1000|https://drive.google.com/thumbnail?id=1oC0QSggH1IrNQq2FIjaMtiKYqIw60Owq&sz=w1000|https://drive.google.com/thumbnail?id=18ZA4xSA_XZ4_gIeSCKvAVCrVeFr0K3b4&sz=w1000|https://drive.google.com/thumbnail?id=1ePyQkDxaaoe0g1LXonCJD2ucdcooF_f_&sz=w1000,https://drive.google.com/thumbnail?id=1o9hUlqqk8PAtg9-ItseY_UKbM7NEKNdN&sz=w1000
