S.N.,Car Name,Model,Chasis Number,Colour,Mileage,Engine,Grade,Details,Landing,Location,Picture Drive Link ,Thumbnail Pic,All Images,Status,Drive Image
95,Toyota Aqua G GR Sports,2019,NH10-6826821,Gray,"59,420",1500,RA,"Pre-Crash Safety, Lane Departure Alert, Cruise Control, High Beam, Push Start",,Dhaka,https://drive.google.com/drive/folders/1WTTbciPlFaO3UthdSD2xQvWpVgFXZuFT?usp=drive_link,https://drive.google.com/file/d/1SMsXtZVnuMTFD_zGlmkosdcLVu8aOMNs/view?usp=drive_link,"https://drive.google.com/file/d/1BuxyFbzure84jB-INzIX9JkT7p5KZRB8/view?usp=drivesdk
https://drive.google.com/file/d/1LbOZRNTHMVSFh8nnlKW_R3pIHsYvjqOg/view?usp=drivesdk
https://drive.google.com/file/d/1QXpCgF-xT6nYXHfkPhlx2rW2vf9tn95_/view?usp=drivesdk
https://drive.google.com/file/d/1SMsXtZVnuMTFD_zGlmkosdcLVu8aOMNs/view?usp=drivesdk
https://drive.google.com/file/d/1big_vl8cx0vA1rTruR3_vMo2_7AQ5lH7/view?usp=drivesdk
https://drive.google.com/file/d/1i5RxGq_QzEoSZjXrjdqO-54EKVQhumCI/view?usp=drivesdk
https://drive.google.com/file/d/1qkk6UrTaTytPYKOIfRHrXiAT2fy1PNSG/view?usp=drivesdk
https://drive.google.com/file/d/1w-1oAlI3CBCE3AkXjnwsF-nfWsQeG_3B/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1WTTbciPlFaO3UthdSD2xQvWpVgFXZuFT?usp=drive_link
96,Toyota Hiace Long DX Package,2019,TRH200-0296864,White,"98,080",2000,3.5,"Toyota Safety Sense, Lane Departure Alert",,Dhaka,https://drive.google.com/drive/folders/1zGs6HTUs7naafhL1pwQ1RE-kNidrErmx?usp=drive_link,https://drive.google.com/file/d/1YFLOUgQQjqhXKueRQ21h4PZCg1IPJQx_/view?usp=drive_link,"https://drive.google.com/file/d/1QokhnRIzZ9ZJPgPAyXm-COyJgUfP0n4i/view?usp=drivesdk
https://drive.google.com/file/d/1WUW9Md3M3eHl3blH452fiGzKz0Cy0Uaa/view?usp=drivesdk
https://drive.google.com/file/d/1YFLOUgQQjqhXKueRQ21h4PZCg1IPJQx_/view?usp=drivesdk
https://drive.google.com/file/d/1nX1ELXVRuaZRZBeD0IKOWORgvJCfmNKK/view?usp=drivesdk
https://drive.google.com/file/d/1yGuWfqm_Xc6xHCfG5lFiQME2cwR-B64n/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1zGs6HTUs7naafhL1pwQ1RE-kNidrErmx?usp=drive_link
97,Toyota Regius Ace Van Long Just Low DX Package,2019,TRH200-0294044,Silver,"181,233",2000,3.5,,,Dhaka,https://drive.google.com/drive/folders/1FD5VR_w3XHwO5_fwjZEPiNes9VR5s1mA?usp=drive_link,https://drive.google.com/file/d/18ZA4xSA_XZ4_gIeSCKvAVCrVeFr0K3b4/view?usp=drive_link,"https://drive.google.com/file/d/10KZGZfHCdc22Gabklfkwmf135Z_YHAOA/view?usp=drivesdk
https://drive.google.com/file/d/15T4sktlN68uj_U3SVLGgBmg-wYBbekaP/view?usp=drivesdk
https://drive.google.com/file/d/18ZA4xSA_XZ4_gIeSCKvAVCrVeFr0K3b4/view?usp=drivesdk
https://drive.google.com/file/d/1Ehdnbdn63ufq6kssh9Mo3XK34sGmrwVt/view?usp=drivesdk
https://drive.google.com/file/d/1LrubpkxFLw7ybTEMeXUMzkROoYrWeQQA/view?usp=drivesdk
https://drive.google.com/file/d/1ePyQkDxaaoe0g1LXonCJD2ucdcooF_f_/view?usp=drivesdk
https://drive.google.com/file/d/1oC0QSggH1IrNQq2FIjaMtiKYqIw60Owq/view?usp=drivesdk",Unsold,https://drive.google.com/drive/folders/1FD5VR_w3XHwO5_fwjZEPiNes9VR5s1mA?usp=drive_link
98,Toyota Yaris Cross Hybrid Z ,2020,MXPJ10-2002964,Golden,"62,811",1500,3.5,"Panaromic View Monitor, ETC, Push Start, Toyota Safety Sense",,Dhaka,https://drive.google.com/drive/folders/1SqeU6cawViermKsMsRRuq1CfyQq0KI-a?usp=drive_link,https://drive.google.com/file/d/1Hd3ayDaF9DHBZ2Klv5Dtk-A01X3BCJnD/view?usp=drive_link,"https://drive.google.com/file/d/19tKTkEfEvDgyarrnLfGFVPXQKrxPGPG3/view?usp=drivesdk
https://drive.google.com/file/d/1EpkeYOWd_iTfExzkFtUKdprghC0Uvdvu/view?usp=drivesdk
https://drive.google.com/file/d/1Hd3ayDaF9DHBZ2Klv5Dtk-A01X3BCJnD/view?usp=drivesdk
https://drive.google.com/file/d/1UEz4hxRNamLbVYHPIsXR_YR-724iw4Ia/view?usp=drivesdk
https://drive.google.com/file/d/1ZD5pxH574ZDNlutJ5Ve6Bsc5CtqHogUX/view?usp=drivesdk
https://drive.google.com/file/d/1cHZ9oTEuqbtguHRXHVZcj2mjVAe91hAl/view?usp=drivesdk
https://drive.google.com/file/d/1kmdtsbLqTtpOLT06NbsOZfTAR_ABMU98/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1SqeU6cawViermKsMsRRuq1CfyQq0KI-a?usp=drive_link
99,Toyota Alphard Hybrid,2021,AYH30-0124886,White,"71,479",2500,4.5,"JBL Sound System, Navigation, Rear Entry System, Omnidirectional Camera, Digital Inner Mirror EC20, Seat Heater/Air Seat",,Dhaka,https://drive.google.com/drive/folders/1D6VB6x1szLRIJoZWmY-vC0FbL3p_VCyi?usp=drive_link,https://drive.google.com/file/d/1XMWXyvBosOt6CXmw2OhE7Wj2cSYY8Tt2/view?usp=drive_link,"https://drive.google.com/file/d/1KNVgeeiaLv1Ku5ys1xY3mqoGT5KgS_wa/view?usp=drivesdk
https://drive.google.com/file/d/1XMWXyvBosOt6CXmw2OhE7Wj2cSYY8Tt2/view?usp=drivesdk
https://drive.google.com/file/d/1ZynnM1EgolQP0BJTNR7VC-khihkQKO6E/view?usp=drivesdk
https://drive.google.com/file/d/1mDWGlc6f9l3vkdPk5s1zkUBD4nF2Q5Fr/view?usp=drivesdk
https://drive.google.com/file/d/1xkLSio7typq20YAJrJXAv_lR9gg4Wf2z/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1D6VB6x1szLRIJoZWmY-vC0FbL3p_VCyi?usp=drive_link
101,Toyota Corolla Fielder Hybrid EX Package,2019,NKE165-7227330,Black,"59,412",1500,4,,,Dhaka,https://drive.google.com/drive/folders/1D6jJ4a0B42Un2_9kCnaSA3P3Dj6o-j0v?usp=drive_link,https://drive.google.com/file/d/1Ly-2CoDg_RaOQBM-sXcvQiHfGdmtMlhG/view?usp=drive_link,"https://drive.google.com/file/d/10GG7E8PJUXJC5a5qOdPGoZtVMBH-MFdx/view?usp=drivesdk
https://drive.google.com/file/d/1Ly-2CoDg_RaOQBM-sXcvQiHfGdmtMlhG/view?usp=drivesdk
https://drive.google.com/file/d/1O2162Ly2rhZh_JPH4mEskPUq_Kij-_ZC/view?usp=drivesdk
https://drive.google.com/file/d/1RaEA2lZwFeYB1wnkR2n6piv8UgFELH6Z/view?usp=drivesdk
https://drive.google.com/file/d/1UHM9wNdtqXUWr8Gi8BE7UpqRhtA-sYH8/view?usp=drivesdk
https://drive.google.com/file/d/1W-5ZmFB_cJfymJsUalZSp0uSptQoo0WI/view?usp=drivesdk
https://drive.google.com/file/d/1qvZQUD9f3OeoF2JBcFkxNCt8foTRyUtM/view?usp=drivesdk
https://drive.google.com/file/d/1s1BIdprHtOjnzUSiWJrHb8PwHHyW01hi/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1D6jJ4a0B42Un2_9kCnaSA3P3Dj6o-j0v?usp=drive_link
102,Toyota Harrier Progress Package,2019,ZSU60-0180380,Silver,"14,406",2500,,ETC,,Dhaka,https://drive.google.com/drive/folders/1FRsb9urFboqhVlLut_A6KmZ1r8wFCyuo?usp=drive_link,https://drive.google.com/file/d/1nhEFidKPpP5cFSUXCmSxarxjQAje0TJv/view?usp=drive_link,"https://drive.google.com/file/d/1Oq2_IWbntSAcBPFwvpGO-N7uEXgtNuHy/view?usp=drivesdk
https://drive.google.com/file/d/1Qtp01NVffCzUOkUC0sw9rJ6GVlTTHTB3/view?usp=drivesdk
https://drive.google.com/file/d/1cujg64lv_Jd1HmvN7K30FOIXBITlRlqh/view?usp=drivesdk
https://drive.google.com/file/d/1gLn6jmJdhy7TkSlaHeuYe9AheDbvdwr7/view?usp=drivesdk
https://drive.google.com/file/d/1nhEFidKPpP5cFSUXCmSxarxjQAje0TJv/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1FRsb9urFboqhVlLut_A6KmZ1r8wFCyuo?usp=drive_link
103,Toyota Corolla FIelder Hybrid GWXB,2019,NKE 165-7214993,Blue,"206,142",1500,3.5,Push Start,,Dhaka,https://drive.google.com/drive/folders/1uqju26jicASqTV6_A3K9kHm4qW7Vpxj2?usp=drive_link,https://drive.google.com/file/d/194ZV1ejcnUWa-gYrxPqxPYVWZTJstwjw/view?usp=drive_link,"https://drive.google.com/file/d/194ZV1ejcnUWa-gYrxPqxPYVWZTJstwjw/view?usp=drivesdk
https://drive.google.com/file/d/1ChFCNDJWrF7crhrjLQx0eWo3YvNyYwtj/view?usp=drivesdk
https://drive.google.com/file/d/1YpmBn868WcICWVwOIhf1skBiXQyqF-82/view?usp=drivesdk
https://drive.google.com/file/d/1q4sDQq3Puiu-tUHGoAXM9yuNM-BN62Ha/view?usp=drivesdk
https://drive.google.com/file/d/1tCsF522wFzBTCbmPDALg32IRb1bbTbWI/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1uqju26jicASqTV6_A3K9kHm4qW7Vpxj2?usp=drive_link
104,Toyota Corolla Axio Hybrid Package,2019,NKE165-7207494,Silver,"124,764",1500,4,"Memory Navigation/Memory, ETC, Toyota Safety Sense, VSC, Lane Departure",,Dhaka,https://drive.google.com/drive/folders/1ht-D6EP6hJehAX_WAWP7T5he9-DTWEW4?usp=drive_link,https://drive.google.com/file/d/1p9LE3Y-96p_i_LgGl6XUQJOUQaGZckdi/view?usp=drive_link,"https://drive.google.com/file/d/1IqWq3Wx-Fk1iBO8bggfpqa71mezbr6Yq/view?usp=drivesdk
https://drive.google.com/file/d/1RNEC4MWTuE99RjdnMesd5RzWZR93pWN7/view?usp=drivesdk
https://drive.google.com/file/d/1YyATOpMzTiQiPvWfpwYS6wP69GTPfab2/view?usp=drivesdk
https://drive.google.com/file/d/1ZvpRlUMsCP11mVBSbqAUUckCw-UHifpn/view?usp=drivesdk
https://drive.google.com/file/d/1b2Y1dcxy15wPMbRto51N22u6zsjGKXjl/view?usp=drivesdk
https://drive.google.com/file/d/1g3xxsNOyJGOq1QAUhdDZAVuTatwjYQjV/view?usp=drivesdk
https://drive.google.com/file/d/1mXFY1_RQaEkguxZB9cs4gsiL3KP6XWju/view?usp=drivesdk
https://drive.google.com/file/d/1p9LE3Y-96p_i_LgGl6XUQJOUQaGZckdi/view?usp=drivesdk
https://drive.google.com/file/d/1uNwcNbY7KAMM_6T4M9_DQ9duxhqETKOw/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1ht-D6EP6hJehAX_WAWP7T5he9-DTWEW4?usp=drive_link
105,Toyota Corolla Axio EX Package,2022,NRE161-0087532,Gray,"40,676",1500,R,"Airbag, ABS",,Dhaka,https://drive.google.com/drive/folders/1ZY0Edr34m3KDX-QH_bQpXKxLcxrx1Mia?usp=drive_link,https://drive.google.com/file/d/1DsM0VM8W-xLq7KDJUUYJ9UWQWafPRn53/view?usp=drive_link,"https://drive.google.com/file/d/1B4OSUv8C38PJegOzW1nXaQzP_wnOwVZA/view?usp=drivesdk
https://drive.google.com/file/d/1DsM0VM8W-xLq7KDJUUYJ9UWQWafPRn53/view?usp=drivesdk
https://drive.google.com/file/d/1QS77Rxid5JnxodR1h4p-mPkcbEgOEGY1/view?usp=drivesdk
https://drive.google.com/file/d/1T_pNium46SYdFmxhguLouh6nnECl0S8w/view?usp=drivesdk
https://drive.google.com/file/d/1bqCP4hRgSipH9W0nfe4nR7S-ZQxnMeFZ/view?usp=drivesdk
https://drive.google.com/file/d/1cY-vHg2RoQBl2W41MCxbo5iutYVbc_VV/view?usp=drivesdk
https://drive.google.com/file/d/1dcJBsfrZ-U6ej3bO83jQgyjOgCi_h6kg/view?usp=drivesdk
https://drive.google.com/file/d/1kA9LJvcgjduphZSwq4YGz_1WXfEXnAOQ/view?usp=drivesdk
https://drive.google.com/file/d/1ocQusWhyoZDaQdOhVFmFRljA-b0yFboC/view?usp=drivesdk
https://drive.google.com/file/d/1q4kf5XD4a1b3melIVcLEP9tjNhro4Y41/view?usp=drivesdk
https://drive.google.com/file/d/1w8KQay0k8LA-SMpHHlg1ew7gtR-smvgS/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1ZY0Edr34m3KDX-QH_bQpXKxLcxrx1Mia?usp=drive_link
106,Toyota Alion A15 Package,2021,NZT260-3230417,Silver,"30,008",1500,R,"ETC, LDA",,Dhaka,https://drive.google.com/drive/folders/1DBOhks-ziPeNdwHpGUxH3TFxBZ0tU8mh?usp=drive_link,https://drive.google.com/file/d/1DfdafgiIz-mIv7hGcwJf1VQkhiIcOXIa/view?usp=drive_link,"https://drive.google.com/file/d/11L4HUEnHTcfqSgcwa0Xc6KWN0Kr3mK5K/view?usp=drivesdk
https://drive.google.com/file/d/1DfdafgiIz-mIv7hGcwJf1VQkhiIcOXIa/view?usp=drivesdk
https://drive.google.com/file/d/1Uh09ocZHR3T_wCoEv623P6fLFUfIbs2L/view?usp=drivesdk
https://drive.google.com/file/d/1izo0BtjG3rMcp-he7j5VHyed3s6lcgCy/view?usp=drivesdk
https://drive.google.com/file/d/1l-T3sfS9VXWyYzbn8rlJWhjXTfwsVd81/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1DBOhks-ziPeNdwHpGUxH3TFxBZ0tU8mh?usp=drive_link
107,Toyota Regius Ace Van DX Package,2020,TRH200V,Silver,"108,733",2000,4,,,Dhaka,https://drive.google.com/drive/folders/1WxEWY9Dbcb2zDXpki0a_R59C34nFOLAG?usp=drive_link,https://drive.google.com/file/d/1hVKl9Dtx0VGZuD2zC8SPO3FgNgFS7pL_/view?usp=drive_link,"https://drive.google.com/file/d/162c5lyYzhts1XhmWd07gIDj0wtlgMZUQ/view?usp=drivesdk
https://drive.google.com/file/d/1LOHbn6-NCSQR9Bcwwe8zAFtyGxlQMOKg/view?usp=drivesdk
https://drive.google.com/file/d/1OY6_xnM9P3tl36Bgf7GF9o8p_6yYmVm2/view?usp=drivesdk
https://drive.google.com/file/d/1V86Dv_qxAcXu8Gl8NwrCfx_dY5iuUVEv/view?usp=drivesdk
https://drive.google.com/file/d/1biPu2Pgzv8jDorSlruZvFw8CjINZmKWL/view?usp=drivesdk
https://drive.google.com/file/d/1fyjwbqu4ijgd57lBPSsE6X6a7v6yFdKt/view?usp=drivesdk
https://drive.google.com/file/d/1hVKl9Dtx0VGZuD2zC8SPO3FgNgFS7pL_/view?usp=drivesdk
https://drive.google.com/file/d/1r3K5Axzaet2NiJpf8s1rxbyzvhcrJ6NQ/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1WxEWY9Dbcb2zDXpki0a_R59C34nFOLAG?usp=drive_link
108,Toyota Alion A15 G Plus Package,2019,NZT260-3217362,Black,"218,351",1500,3.5,"Front Fog, Rear Wiper, Toyota Safety Sense, Intelligent Clearance Sonar",,Dhaka,https://drive.google.com/drive/folders/1AJyRhbm_msnEvzkMK20Xj6-Yk-j4ymbx?usp=drive_link,https://drive.google.com/file/d/1yxu9E2LU2jC1Pgy-B7bwoD-fabnaHl15/view?usp=drive_link,"https://drive.google.com/file/d/1D-mx8aAynr00l_SVu9iks8NGzcodJaDM/view?usp=drivesdk
https://drive.google.com/file/d/1WUM0UVMci-R5MwqSQw7bWT6HIOG1oMk1/view?usp=drivesdk
https://drive.google.com/file/d/1_VlAGPW6mDAgPSNYt_kddFPbL6drfWf3/view?usp=drivesdk
https://drive.google.com/file/d/1fbG5pMa6tcHCg1Yja0ljpqNyiAjighw0/view?usp=drivesdk
https://drive.google.com/file/d/1rIrlmtu7g8EIpDtsQKQFkbYv1rN5keIK/view?usp=drivesdk
https://drive.google.com/file/d/1yxu9E2LU2jC1Pgy-B7bwoD-fabnaHl15/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1AJyRhbm_msnEvzkMK20Xj6-Yk-j4ymbx?usp=drive_link
109,Toyota Corolla Fielder Hybrid,2019,NKE165-7214198,Black,"185,213",1500,3.5,"Toyota Safety Sense, ETC, Back Monitor, Keyless Entry, External Navigation",,Dhaka,https://drive.google.com/drive/folders/1JaYJuL5YxKubNAUyexnXQjzF9-0gDP1j?usp=drive_link,https://drive.google.com/file/d/1jKwgI0LtXV7k704Plwr3I16oBJnJYwsy/view?usp=drive_link,"https://drive.google.com/file/d/12SXVG0RSFbxfpWP-Gl0DzckePlejiMQb/view?usp=drivesdk
https://drive.google.com/file/d/16GOnuSgizMkAgv3blz-YfUhyxFQEQZ_r/view?usp=drivesdk
https://drive.google.com/file/d/1BpCdZkaC12iMePbt1kYd8zcNqDsh0dNf/view?usp=drivesdk
https://drive.google.com/file/d/1LZRrY-EXRPtBPJxQ3EZjfDEwzWBe-kcD/view?usp=drivesdk
https://drive.google.com/file/d/1W49_PN3Mj_7fpX6myKleTQxhMZiLDU7i/view?usp=drivesdk
https://drive.google.com/file/d/1XpAqq7IBHNk9L8NWV8eSbkoKF9Jzc3SC/view?usp=drivesdk
https://drive.google.com/file/d/1d-UczoGYOencaVIwpS_hbxOnMOK5ifpl/view?usp=drivesdk
https://drive.google.com/file/d/1j4u4Dn4Le65rFdy-KCJk8pKHnF4PX6Wz/view?usp=drivesdk
https://drive.google.com/file/d/1jKwgI0LtXV7k704Plwr3I16oBJnJYwsy/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1JaYJuL5YxKubNAUyexnXQjzF9-0gDP1j?usp=drive_link
110,Toyota Hiace Long DX Package,2019,TRH200-0294190,White,"109,111",2000,RA,,,Dhaka,https://drive.google.com/drive/folders/1fmIxchROkFEGc5CgGQa8l0a7VRy32KE3?usp=drive_link,https://drive.google.com/file/d/1SPRTajE9h6SmfYlzJw1y_LN-9R1I4PsA/view?usp=drive_link,"https://drive.google.com/file/d/1091bTKK6TlEsfLUskZ0RlQiqFHw2SC9u/view?usp=drivesdk
https://drive.google.com/file/d/18246m2y70NlNiBWy1CETYHIajKYm6hoq/view?usp=drivesdk
https://drive.google.com/file/d/1O01Xd2xXlhU9Fpbl5Af12kGQQXTNeOl9/view?usp=drivesdk
https://drive.google.com/file/d/1PPxEH2A57VRpcP4dh7PwDGNHkQAIfNUE/view?usp=drivesdk
https://drive.google.com/file/d/1RSEPlGjG-9Xdu5vSLkipW9PMJQ7HUO6o/view?usp=drivesdk
https://drive.google.com/file/d/1SPRTajE9h6SmfYlzJw1y_LN-9R1I4PsA/view?usp=drivesdk
https://drive.google.com/file/d/1_tOYheKilPb_fsdU5THbO85rY3fx6upT/view?usp=drivesdk
https://drive.google.com/file/d/1ibfv4QwvBz-5QOfSWDt_l5fTyYqlLlIK/view?usp=drivesdk",Unsold,https://drive.google.com/drive/folders/1fmIxchROkFEGc5CgGQa8l0a7VRy32KE3?usp=drive_link
111,Toyota C-HR Hybrid S Package,2019,ZYX10-2168588,Black,"147,850",1800,4,"Genuine Navigation/TV, Back Camera, Toyota Safety Sense, Radar Cruise Control,VSC, ETC, Push Start",,Dhaka,https://drive.google.com/drive/folders/18JGdmWo-y3VKpfNaPMTv_jUUz-Kqc_Fy?usp=drive_link,https://drive.google.com/file/d/1TEiHXjsfWLiHUrMSKQdaty-u011KDxUH/view?usp=drive_link,"https://drive.google.com/file/d/117zUqN8oehorIREA6JMJlQHjpXpVV5DJ/view?usp=drivesdk
https://drive.google.com/file/d/12DLygD9A779D2r_9V8bgmfifERRWKlbC/view?usp=drivesdk
https://drive.google.com/file/d/168DFJIdRgOUoI68pjUhfexu0rz6jWvPy/view?usp=drivesdk
https://drive.google.com/file/d/1EESC4LeUJhQXaiOnfm6zvI_UU3Y59KIY/view?usp=drivesdk
https://drive.google.com/file/d/1Ectp-MBN7EuYfS7RFU4r-KoHkqHTDxa9/view?usp=drivesdk
https://drive.google.com/file/d/1NQXaPhYlnTbOQ5y59dCSloaS534QTyFL/view?usp=drivesdk
https://drive.google.com/file/d/1TEiHXjsfWLiHUrMSKQdaty-u011KDxUH/view?usp=drivesdk
https://drive.google.com/file/d/1U3lyrnkmzVQFWMrGeiLLhgMaGukGH4jB/view?usp=drivesdk
https://drive.google.com/file/d/1WFyiN3nnXKrbJPg4o0u3ubJgdSAHL23T/view?usp=drivesdk
https://drive.google.com/file/d/1XGZHKQ1piOjknoiPUE05JSpOo689LL9z/view?usp=drivesdk
https://drive.google.com/file/d/1YWoUCmkGxsvljcokkkXOZx928pJxhxNn/view?usp=drivesdk
https://drive.google.com/file/d/1ckuD4JaOgMYxdnYMotB5n-VW4eoHhQud/view?usp=drivesdk
https://drive.google.com/file/d/1lS510dqhV361asLOPyHtbqC9TUMHcSs_/view?usp=drivesdk
https://drive.google.com/file/d/1spibhyI9eOeHS6j4-gFzNk3HUdBbk21S/view?usp=drivesdk
https://drive.google.com/file/d/1v-MnYyig5dit7TBulDh6rtJ1tejpff15/view?usp=drivesdk
https://drive.google.com/file/d/1z8nYAbQx0dLDXITqYja_nSm3hrMVIQ8r/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/18JGdmWo-y3VKpfNaPMTv_jUUz-Kqc_Fy?usp=drive_link
112,Toyota Corolla Axio EX Package,2020,NRE161-0089452,Silver,"144,624",1500,4,,,Dhaka,https://drive.google.com/drive/folders/1WsVzR-ingkDXGjOfrGR7foKzKdB-MKeh?usp=drive_link,https://drive.google.com/file/d/1v73HvVyNI8QAB4mHRmHd_ho5Z_OqELHd/view?usp=drive_link,"https://drive.google.com/file/d/1Ou_f3iCrVe6zadupIhu-MfzBDCNLseH8/view?usp=drivesdk
https://drive.google.com/file/d/1ZOBhEimgzEGlE2NJ_WZdcVMWJPdA78zU/view?usp=drivesdk
https://drive.google.com/file/d/1bR9aVA8uovd2rzk_wgx9ZFy4vF_kAr5L/view?usp=drivesdk
https://drive.google.com/file/d/1v73HvVyNI8QAB4mHRmHd_ho5Z_OqELHd/view?usp=drivesdk
https://drive.google.com/file/d/1wWX_LYXWoEbibqCsvl2iOMe10izLshwK/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1WsVzR-ingkDXGjOfrGR7foKzKdB-MKeh?usp=drive_link
113,Toyota Voxy Hybrid X Package,2019,ZWR80-0394814,Silver,"228,328",1800,R,"Genuine SD Navigation+TV, Back Monitor, Toyota Safety Sense, Left Side Power Slide Door, ETC",,Dhaka,https://drive.google.com/drive/folders/1D4F-XLynDQKQxb3j-imvpwC7pfXgQcqO?usp=drive_link,https://drive.google.com/file/d/1mBV5jd_ajeSd7uxbXW7uBA7VB1ejnAZq/view?usp=drive_link,"https://drive.google.com/file/d/1BUfY2lDuTSzamUExHroXJmcpkH2VTTbf/view?usp=drivesdk
https://drive.google.com/file/d/1Fg0fa1FqF3gI4AL_3wgChk3HQcE3PrPz/view?usp=drivesdk
https://drive.google.com/file/d/1bZWzxRJSZ0A-NkBl9otg1rCqdz61YlBB/view?usp=drivesdk
https://drive.google.com/file/d/1e2FHyk2Sn2awrzVBp7YYCLyoEmN-DcVV/view?usp=drivesdk
https://drive.google.com/file/d/1gTJAHOtDacWay-sjy79ntlwYB9J1F7mL/view?usp=drivesdk
https://drive.google.com/file/d/1lrRiJjLwiA6u0CtMq1vTX8WW2izg0JJb/view?usp=drivesdk
https://drive.google.com/file/d/1mBV5jd_ajeSd7uxbXW7uBA7VB1ejnAZq/view?usp=drivesdk
https://drive.google.com/file/d/1mWI8Q3fweVd22lBwI2eCsFCKu1mm7BMf/view?usp=drivesdk
https://drive.google.com/file/d/1nByauVWwpzrtYtJ3dO2Wv14_BJ_EXash/view?usp=drivesdk
https://drive.google.com/file/d/1pIq1oO4GZmYNwkHlbVJc_b8g0QzgjHPF/view?usp=drivesdk",Unsold,https://drive.google.com/drive/folders/1D4F-XLynDQKQxb3j-imvpwC7pfXgQcqO?usp=drive_link
114,Toyota C-HR S LED Package,2019,ZYX10-2189418,Brown,"39,021",1800,3.5,"External Navigation/TV, Back Camera, Safety Sense, LED Headlight, Smart Key, Push Start",,Dhaka,https://drive.google.com/drive/folders/1O2Ri2ybbztLAwyeOBqQgSwx__9VVlTB7?usp=drive_link,https://drive.google.com/file/d/1EkGnfzJiAS5FT2p0YwB_RbSTuSsuOJ7q/view?usp=drive_link,"https://drive.google.com/file/d/1CuIdcjqoduQX5obAYf6GF0xCxUrycs7f/view?usp=drivesdk
https://drive.google.com/file/d/1EkGnfzJiAS5FT2p0YwB_RbSTuSsuOJ7q/view?usp=drivesdk
https://drive.google.com/file/d/1Vh1485WAC19865wgPRhouGmGdk_Yxtt0/view?usp=drivesdk
https://drive.google.com/file/d/1nS5jY-gtiqiKaOKc7Ydh2gFRAjlMb-_M/view?usp=drivesdk
https://drive.google.com/file/d/1qyPAGlbzcMmW1xdIx9DMqzADEAvw5WnE/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1O2Ri2ybbztLAwyeOBqQgSwx__9VVlTB7?usp=drive_link
115,Toyota Corolla Cross Hybrid Z Package,2023,ZVG11-1045355,Black,"14,368",1800,R,"Panaromic View Camera, Clearance Sonar, Electric Rear Gate, Front Seat Heater, Half Leather Seat, Display Audio TV/DVD, Auto Cruise Control",,Dhaka,https://drive.google.com/drive/folders/1AmFjR1dkJquNHzGfieuO3s4SR5Z0i-wF?usp=drive_link,https://drive.google.com/file/d/1ETVWYF8Av6icMhTeRKchTDORozDHNnVq/view?usp=drive_link,"https://drive.google.com/file/d/16Jh1H8VL_0Rvw6Cf-f74fMvamKg8Vg9b/view?usp=drivesdk
https://drive.google.com/file/d/16hXx8tN3ugGucruZ5ZX1xGfkZl4qZi6V/view?usp=drivesdk
https://drive.google.com/file/d/18NLgAxh47fgQrdaq5KL2Ssbz79ZU5GwQ/view?usp=drivesdk
https://drive.google.com/file/d/1ETVWYF8Av6icMhTeRKchTDORozDHNnVq/view?usp=drivesdk
https://drive.google.com/file/d/1StLo7sEjdDzVFkEEZJ4qkzKt34hxadVS/view?usp=drivesdk
https://drive.google.com/file/d/1UR6oigrU4NspzA62QnL1KRVGlQk3yyjt/view?usp=drivesdk
https://drive.google.com/file/d/1Updotlc7e1cLP6dUGmY5sW1FN0IKx2Td/view?usp=drivesdk
https://drive.google.com/file/d/1hbZ4-s7ICJBjGy5E4tzuSBODzvw44A7-/view?usp=drivesdk
https://drive.google.com/file/d/1ljnANRCBdv9P0ohWMWVyFC71oa2AkfQ4/view?usp=drivesdk
https://drive.google.com/file/d/1nM0Q67tFIBvfpTFOycX-l_XMRL2_eUcp/view?usp=drivesdk
https://drive.google.com/file/d/1t79U-otPO8p1g8WOb3e5PE03v8mkCERA/view?usp=drivesdk
https://drive.google.com/file/d/1tal0-gqVo7t0xrgySk8KgJvHYTT_ai4t/view?usp=drivesdk
https://drive.google.com/file/d/1vqTkUazFwZGJpIOUSu2-56DW365rTHLj/view?usp=drivesdk
https://drive.google.com/file/d/1xCyNW7yp6xqjqs3ZhHoe6W28NMg_V4RB/view?usp=drivesdk
https://drive.google.com/file/d/1yOJvR8m8zG33qwbEsNSle0TTxlbR66Dk/view?usp=drivesdk",Sold,https://drive.google.com/drive/folders/1AmFjR1dkJquNHzGfieuO3s4SR5Z0i-wF?usp=drive_link
